ID,Resume_str,Resume_html,Category
131,"Business Analyst professional with 2 years of experience in Power BI, data interpretation, and SQL.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>Power BI</i>, <i>data interpretation</i>, and <i>SQL</i>.</p>",Business Analyst
132,"Marketing professional with 1 years of experience in social media, analytics, and SEM.","<p>Marketing professional with <b>1 years</b> of experience in <i>social media</i>, <i>analytics</i>, and <i>SEM</i>.</p>",Marketing
133,"Business Analyst professional with 7 years of experience in client communication, dashboard reporting, and Excel.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>client communication</i>, <i>dashboard reporting</i>, and <i>Excel</i>.</p>",Business Analyst
134,"Business Analyst professional with 5 years of experience in Power BI, dashboard reporting, and data interpretation.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Power BI</i>, <i>dashboard reporting</i>, and <i>data interpretation</i>.</p>",Business Analyst
135,"HR professional with 3 years of experience in HR policies, conflict resolution, and talent acquisition.","<p>HR professional with <b>3 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>talent acquisition</i>.</p>",HR
136,"Software Engineer professional with 3 years of experience in data structures, backend development, and Java.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>data structures</i>, <i>backend development</i>, and <i>Java</i>.</p>",Software Engineer
137,"Software Engineer professional with 4 years of experience in backend development, Node.js, and MongoDB.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>backend development</i>, <i>Node.js</i>, and <i>MongoDB</i>.</p>",Software Engineer
138,"Marketing professional with 6 years of experience in SEM, analytics, and digital campaigns.","<p>Marketing professional with <b>6 years</b> of experience in <i>SEM</i>, <i>analytics</i>, and <i>digital campaigns</i>.</p>",Marketing
139,"Software Engineer professional with 1 years of experience in Node.js, Java, and MongoDB.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Node.js</i>, <i>Java</i>, and <i>MongoDB</i>.</p>",Software Engineer
140,"Marketing professional with 6 years of experience in content creation, SEM, and digital campaigns.","<p>Marketing professional with <b>6 years</b> of experience in <i>content creation</i>, <i>SEM</i>, and <i>digital campaigns</i>.</p>",Marketing
141,"Software Engineer professional with 5 years of experience in data structures, algorithms, and Node.js.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>data structures</i>, <i>algorithms</i>, and <i>Node.js</i>.</p>",Software Engineer
142,"HR professional with 4 years of experience in employee engagement, HR policies, and recruitment.","<p>HR professional with <b>4 years</b> of experience in <i>employee engagement</i>, <i>HR policies</i>, and <i>recruitment</i>.</p>",HR
143,"HR professional with 3 years of experience in recruitment, employee engagement, and onboarding.","<p>HR professional with <b>3 years</b> of experience in <i>recruitment</i>, <i>employee engagement</i>, and <i>onboarding</i>.</p>",HR
144,"Business Analyst professional with 4 years of experience in Power BI, SQL, and data interpretation.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>Power BI</i>, <i>SQL</i>, and <i>data interpretation</i>.</p>",Business Analyst
145,"Software Engineer professional with 7 years of experience in MongoDB, data structures, and Python.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>MongoDB</i>, <i>data structures</i>, and <i>Python</i>.</p>",Software Engineer
146,"Marketing professional with 3 years of experience in SEM, SEO, and social media.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEM</i>, <i>SEO</i>, and <i>social media</i>.</p>",Marketing
147,"HR professional with 4 years of experience in recruitment, talent acquisition, and conflict resolution.","<p>HR professional with <b>4 years</b> of experience in <i>recruitment</i>, <i>talent acquisition</i>, and <i>conflict resolution</i>.</p>",HR
148,"Marketing professional with 4 years of experience in SEO, social media, and SEM.","<p>Marketing professional with <b>4 years</b> of experience in <i>SEO</i>, <i>social media</i>, and <i>SEM</i>.</p>",Marketing
149,"Business Analyst professional with 6 years of experience in data interpretation, dashboard reporting, and Excel.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>data interpretation</i>, <i>dashboard reporting</i>, and <i>Excel</i>.</p>",Business Analyst
150,"Mechanical Engineer professional with 3 years of experience in manufacturing processes, SolidWorks, and AutoCAD.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
151,"HR professional with 4 years of experience in HR policies, recruitment, and onboarding.","<p>HR professional with <b>4 years</b> of experience in <i>HR policies</i>, <i>recruitment</i>, and <i>onboarding</i>.</p>",HR
152,"Marketing professional with 6 years of experience in content creation, analytics, and SEO.","<p>Marketing professional with <b>6 years</b> of experience in <i>content creation</i>, <i>analytics</i>, and <i>SEO</i>.</p>",Marketing
153,"Business Analyst professional with 5 years of experience in dashboard reporting, data interpretation, and Power BI.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>dashboard reporting</i>, <i>data interpretation</i>, and <i>Power BI</i>.</p>",Business Analyst
154,"Business Analyst professional with 1 years of experience in client communication, data interpretation, and Power BI.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>client communication</i>, <i>data interpretation</i>, and <i>Power BI</i>.</p>",Business Analyst
155,"Mechanical Engineer professional with 4 years of experience in thermodynamics, AutoCAD, and quality inspection.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>thermodynamics</i>, <i>AutoCAD</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
156,"HR professional with 6 years of experience in talent acquisition, onboarding, and employee engagement.","<p>HR professional with <b>6 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>employee engagement</i>.</p>",HR
157,"Mechanical Engineer professional with 4 years of experience in CAD tools, thermodynamics, and quality inspection.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>CAD tools</i>, <i>thermodynamics</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
158,"Mechanical Engineer professional with 5 years of experience in AutoCAD, quality inspection, and manufacturing processes.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>AutoCAD</i>, <i>quality inspection</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
159,"HR professional with 4 years of experience in talent acquisition, HR policies, and employee engagement.","<p>HR professional with <b>4 years</b> of experience in <i>talent acquisition</i>, <i>HR policies</i>, and <i>employee engagement</i>.</p>",HR
160,"Business Analyst professional with 5 years of experience in Excel, client communication, and dashboard reporting.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>client communication</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
161,"Marketing professional with 5 years of experience in digital campaigns, SEO, and analytics.","<p>Marketing professional with <b>5 years</b> of experience in <i>digital campaigns</i>, <i>SEO</i>, and <i>analytics</i>.</p>",Marketing
162,"HR professional with 5 years of experience in employee engagement, HR policies, and onboarding.","<p>HR professional with <b>5 years</b> of experience in <i>employee engagement</i>, <i>HR policies</i>, and <i>onboarding</i>.</p>",HR
163,"Mechanical Engineer professional with 4 years of experience in manufacturing processes, SolidWorks, and CAD tools.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
164,"Business Analyst professional with 2 years of experience in Excel, Power BI, and dashboard reporting.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
165,"Software Engineer professional with 5 years of experience in Java, algorithms, and MongoDB.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
166,"Software Engineer professional with 1 years of experience in Node.js, algorithms, and Java.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Node.js</i>, <i>algorithms</i>, and <i>Java</i>.</p>",Software Engineer
167,"Business Analyst professional with 5 years of experience in Excel, dashboard reporting, and Power BI.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>dashboard reporting</i>, and <i>Power BI</i>.</p>",Business Analyst
168,"HR professional with 6 years of experience in recruitment, HR policies, and talent acquisition.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>HR policies</i>, and <i>talent acquisition</i>.</p>",HR
169,"Software Engineer professional with 2 years of experience in algorithms, backend development, and Node.js.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>algorithms</i>, <i>backend development</i>, and <i>Node.js</i>.</p>",Software Engineer
170,"Marketing professional with 1 years of experience in social media, SEO, and SEM.","<p>Marketing professional with <b>1 years</b> of experience in <i>social media</i>, <i>SEO</i>, and <i>SEM</i>.</p>",Marketing
171,"Marketing professional with 2 years of experience in analytics, SEM, and SEO.","<p>Marketing professional with <b>2 years</b> of experience in <i>analytics</i>, <i>SEM</i>, and <i>SEO</i>.</p>",Marketing
172,"Software Engineer professional with 2 years of experience in data structures, Java, and Python.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>data structures</i>, <i>Java</i>, and <i>Python</i>.</p>",Software Engineer
173,"Marketing professional with 1 years of experience in SEM, analytics, and SEO.","<p>Marketing professional with <b>1 years</b> of experience in <i>SEM</i>, <i>analytics</i>, and <i>SEO</i>.</p>",Marketing
