ID,JobDescription,Department
399,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
400,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
401,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
402,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
403,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
404,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
405,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
406,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
407,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
408,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
409,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
410,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
411,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
412,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
413,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
414,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
415,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
416,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
417,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
418,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
419,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
420,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
421,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
422,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
423,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
424,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
425,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
426,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
427,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
428,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
429,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
430,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
431,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
432,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
433,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
434,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
435,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
436,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
437,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
